"hostname";"ip";"mac";"cn";"dc";"controller"
"AI-111";"192.168.1.111";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-112";"192.168.1.112";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-119";"192.168.1.119";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-120";"192.168.1.120";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-121";"192.168.1.121";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-122";"192.168.1.122";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-123";"192.168.1.123";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-124";"192.168.1.124";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-125";"192.168.1.125";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-126";"192.168.1.126";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-127";"192.168.1.127";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-128";"192.168.1.128";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-129";"192.168.1.129";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-130";"192.168.1.130";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-132";"192.168.1.132";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-133";"192.168.1.133";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-134";"192.168.1.134";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-135";"192.168.1.135";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-136";"192.168.1.136";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-137";"192.168.1.137";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-138";"192.168.1.138";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"DC-1";"192.168.1.254";"AC:22:0B:2A:CE:30";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"DC-2";"192.168.1.253";"AC:22:0B:2A:CD:F2";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"DC-3";"192.168.1.252";"62:FE:59:7F:36:43";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
